Year,Month,Month Code,District Code,District,Total SNAP Households,Total SNAP Persons,Total SNAP Benefits,Temporary Assistance SNAP Households,Temporary Assistance SNAP Persons,Temporary Assistance SNAP Benefits,Non-Temporary Assistance SNAP Households,Non-Temporary Assistance SNAP Persons,Non-Temporary Assistance SNAP Benefits
2002,January,1,1,Albany,"8,598","17,533","$1,451,349","4,885","8,301","$782,692","3,713","9,232","$668,657"
2002,January,1,2,Allegany,"1,812","3,783","$277,998",842,"1,330","$108,485",970,"2,453","$169,513"
2002,January,1,3,Broome,"6,000","11,905","$938,534","3,010","4,694","$420,727","2,990","7,211","$517,807"
2002,January,1,4,Cattaraugus,"3,041","6,164","$432,312","1,225","1,713","$140,490","1,816","4,451","$291,822"
2002,January,1,5,Cayuga,"2,159","4,830","$376,009",754,"1,068","$90,769","1,405","3,762","$285,240"
2002,January,1,6,Chautauqua,"5,523","11,755","$964,526","2,892","4,867","$464,529","2,631","6,888","$499,997"
2002,January,1,7,Chemung,"2,702","5,869","$450,645","1,355","2,191","$190,543","1,347","3,678","$260,102"
2002,January,1,8,Chenango,"1,704","3,758","$286,522",483,666,"$57,186","1,221","3,092","$229,336"
2002,January,1,9,Clinton,"2,945","5,581","$421,385","1,348","1,706","$140,938","1,597","3,875","$280,447"
2002,January,1,10,Columbia,"1,365","2,521","$196,052",584,815,"$72,726",781,"1,706","$123,326"
2002,January,1,11,Cortland,"1,577","3,324","$261,077",704,"1,066","$94,950",873,"2,258","$166,127"
2002,January,1,12,Delaware,"1,287","2,446","$172,917",482,600,"$45,155",805,"1,846","$127,762"
2002,January,1,13,Dutchess,"3,450","6,343","$494,759","1,546","2,249","$204,561","1,904","4,094","$290,198"
2002,January,1,14,Erie,"36,226","74,130","$6,110,598","18,566","30,568","$2,881,777","17,660","43,562","$3,228,821"
2002,January,1,15,Essex,"1,153","2,167","$155,747",508,662,"$48,456",645,"1,505","$107,291"
2002,January,1,16,Franklin,"1,658","3,437","$254,297",656,867,"$67,503","1,002","2,570","$186,794"
2002,January,1,17,Fulton,"1,935","4,242","$331,697",761,"1,027","$90,320","1,174","3,215","$241,377"
2002,January,1,18,Genesee,"1,267","2,585","$203,039",520,748,"$65,839",747,"1,837","$137,200"
2002,January,1,19,Greene,"1,342","2,646","$212,108",617,937,"$89,613",725,"1,709","$122,495"
2002,January,1,20,Hamilton,163,245,"$12,722",28,36,"$2,766",135,209,"$9,956"
2002,January,1,21,Herkimer,"1,967","4,220","$325,080",693,980,"$82,478","1,274","3,240","$242,602"
2002,January,1,22,Jefferson,"3,695","8,231","$637,984","1,575","2,427","$202,789","2,120","5,804","$435,195"
2002,January,1,23,Lewis,834,"1,829","$133,430",283,379,"$29,039",551,"1,450","$104,391"
2002,January,1,24,Livingston,"1,668","3,254","$258,586",777,"1,249","$120,029",891,"2,005","$138,557"
2002,January,1,25,Madison,"1,524","3,178","$246,088",545,635,"$48,663",979,"2,543","$197,425"
